title,url,discounted_price,original_price
Teclast P10HD 4G Tablets 10.1inch Android 9.0 1920x1200 Octa Core 3GB +32GB,https://www.cigabuy.com/teclast-p10hd-4g-tablets-101inch-android-90-1920x1200-octa-core-3gb-32gb-p-19452.html,€102.81,€202.17 
Authentic Geekvape Aegis Pod 800mAh Pod System Kit - Beetle Black,https://www.cigabuy.com/authentic-geekvape-aegis-pod-800mah-pod-system-kit-beetle-black-p-19570.html,€16.59,€25.86 
Authentic Uwell Whirl II 3.5ml Sub-Ohm Tank - Black,https://www.cigabuy.com/authentic-uwell-whirl-ii-35ml-sub-ohm-tank-black-p-20058.html,,
Authentic Dovpo Odin 100 Box Mod - Gunmetal,https://www.cigabuy.com/authentic-dovpo-odin-100-box-mod-gunmetal-p-19697.html,,
Authentic Gas Mods Kree 24 RTA - Silver,https://www.cigabuy.com/authentic-gas-mods-kree-24-rta-silver-p-19096.html,€13.63,€17.93 
Authentic Uwell Valyrian Pod Kit - Gold,https://www.cigabuy.com/authentic-uwell-valyrian-pod-kit-gold-p-19506.html,,
Kemei 1971B Electric Hair Clipper Cordless Trimmer Engraving Shears Rechargeable,https://www.cigabuy.com/kemei-1971b-electric-hair-clipper-cordless-trimmer-engraving-shears-rechargeable-p-20156.html,€14.72,€39.68 
Authentic Vandyvape Requiem RDA - Gunmetal,https://www.cigabuy.com/authentic-vandyvape-requiem-rda-gunmetal-p-20050.html,,
3 x Authentic SMOK TFV16 Replacement Triple Mesh Coil 0.15ohm,https://www.cigabuy.com/3-x-authentic-smok-tfv16-replacement-triple-mesh-coil-015ohm-p-15814.html,€6.61,€10.53 
1 × Authentic uwell Valyrian Empty Cartridge 3ml,https://www.cigabuy.com/1-×-authentic-uwell-valyrian-empty-cartridge-3ml-p-19510.html,,
Authentic Wotofo MANIK Pod Mod Kit - Nano Gunmetal,https://www.cigabuy.com/authentic-wotofo-manik-pod-mod-kit-nano-gunmetal-p-20135.html,,
Authentic Freemax Fireluke 3 Mesh Sub-Ohm Tank - Black,https://www.cigabuy.com/authentic-freemax-fireluke-3-mesh-sub-ohm-tank-black-p-19167.html,,
